LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,Sector,Developer,ValidUpto,licence_active,match_status,match_score,match_why,rera_project,rera_reg_no,rera_promoter
05 OF 2025,10/01/2025,DDJAY-APHP,5.11875,KARNAL,27,Arman Residency,09/01/2030,True,PARCEL-MATCH,100,name=100+sector,ARMAN RESIDENCY,HRERA-PKL-KRL-735-2025,ARMAN RESIDENCY
31 OF 2026,18/02/2026,DDJAY-APHP,6.225,KARNAL,27,Arman Residency,16/02/2031,True,PARCEL-MATCH,100,name=100+sector,ARMAN RESIDENCY,HRERA-PKL-KRL-735-2025,ARMAN RESIDENCY
11 OF 2025,16/01/2025,IPA,12.0125,GHARAUNDA,NA,AllianceTexofab Pvt. Ltd.,15/01/2030,True,DEV-MATCH,97,name=97,REP GROUP INDUSTRIAL PARK,HRERA-PKL-KRL-756-2025,ALLIANCE TEXOFAB PRIVATE LIMITED
19 OF 2025,04/02/2025,NILP,5.0625,KARNAL,32 & 32A,Apramjit Virk,03/02/2030,True,UNMATCHED,0,,,,
42 OF 2025,28/03/2025,DDJAY-APHP,6.63125,KARNAL,28A,Landadil Private Limited,27/03/2030,True,SPV-MATCH?,62,name=62+area,ANSAL TOWN KARNAL DDAY AREA 6.63 ACRES,HRERA-PKL-KNL-32-2018,ANSAL HOUSING AND CONSTRUCTION LTD.
55 OF 2025,17/04/2025,DDJAY-APHP,9.604,KARNAL,14,Divine Vision Infraspace Pvt. Ltd.,16/04/2030,True,PARCEL-MATCH,100,name=100+sector,THE FLOWER CITY,HRERA-PKL-KRL-722-2025,M/S DIVINE VISION INFRASPACE PVT LTD
117 OF 2025,10/07/2025,CPL,1,KARNAL,29,Ranbir Singh,09/07/2030,True,UNMATCHED,0,,,,
188 OF 2025,30/09/2025,DDJAY-APHP,5.03125,KARNAL,33,ESMAX INFRADEVELOPERS PRIVATE LIMITED,29/09/2030,True,DEV-MATCH,100,name=100,32 EMPORIO,HRERA-PKL-KRL-328-2022,ESMAX INFRADEVELOPERS PVT LTD
195 OF 2025,15/10/2025,DDJAY-APHP,6.17,KARNAL,28A,POSWAL LAND AND STRUCTURE INNOVATIONS PVT LTD,14/10/2030,True,PARCEL-MATCH,100,name=100+sector,BHARAT ENCLAVE,HRERA-PKL-KRL-937-2026,POSWAL LAND AND STRUCTURE INNOVATIONS PRIVATE LIMITED
206 OF 2025,15/10/2025,DDJAY-APHP,9.4166,KARNAL,34,Aarize Township LLP,14/10/2030,True,PARCEL-MATCH,100,name=100+sector,KARNELYA,HRERA-PKL-KRL-831-2026,AARIZE TOWNSHIP LLP
222 OF 2025,14/11/2025,DDJAY-APHP,6.38125,KARNAL,29,Alpha Corp. Development Pvt. Ltd.,13/11/2030,True,PARCEL-MATCH,100,name=100+sector,AVENUE 29,HRERA-PKL-KRL-247-2021,ALPHA CORP DEVELOPMENT PRIVATE LIMITED
230 OF 2025,20/11/2025,DDJAY-APHP,10.725,KARNAL,29,Vallabh Township Private Limited,19/11/2030,True,PARCEL-MATCH,100,name=100+sector,ANANDAM ENCLAVE,HRERA-PKL-KRL-888-2026,VALLABH TOWNSHIP PRIVATE LIMITED
266 OF 2025,31/12/2025,RGH,3.03125,KARNAL,36,K.N. Colonizers Pvt. Ltd.,30/12/2030,True,PARCEL-MATCH,80,name=80+sector,ANAND VATIKA,302 OF 2017 DATED: 13.10.2017,KN COLONISERS PVT LTD
17 OF 2026,22/01/2026,AHP,11.86458,KARNAL,36,MHL Infraheights LLP,21/01/2031,True,PARCEL-MATCH,100,name=100+sector,THE FLOWER CITY,HRERA-PKL-KRL-947-2026,MHL INFRAHEIGHTS LLP
33 OF 2026,19/02/2026,DDJAY-APHP,9.30625,ASSANDH,5,Landmark Estate,18/02/2031,True,DEV-MATCH,100,name=100,"SUSHANT  ROYALE, AREA 11.239 ACRES",338 OF 2017 DATED 17-10-2017,ANSAL LANDMARK(KARNAL) TOWNSHIP PVT. LTD
36 OF 2026,02/03/2026,CPL,1.0125,KARNAL,29,Karnal City Centre,01/03/2031,True,PARCEL-MATCH,100,name=100+sector,KARNAL CITY CENTRE,HRERA-PKL-KRL-919-2026,KARNAL CITY CENTRE
55 OF 2026,25/03/2026,IPA,31.51875,KARNAL,NA,OPS Realty Pvt. Ltd.,24/03/2031,True,DEV-MATCH,100,name=100,OPS LAKEFRONT,HRERA-PKL-KRL-950-2026,OPS REALTY PRIVATE LIMITED
75 OF 2026,24/04/2026,DDJAY-APHP,16.7585,KARNAL,NA,RNR Townships Pvt Ltd,23/04/2031,True,UNMATCHED,0,,,,
78 OF 2026,01/05/2026,CPL,3.323,KARNAL,5,SANTUR SPACES PVT. LTD.,30/04/2031,True,DEV-MATCH,100,name=100,SANTUR SILVER SPRINGS,HRERA-PKL-KNL-7-2018,SANTUR SPACES PVT. LTD.
92 OF 2026,14/05/2026,IPA,21.41875,KARNAL,NA,Khatushyam Construction LLP,13/05/2031,True,UNMATCHED,0,,,,
96 OF 2026,18/05/2026,DDJAY-APHP,8.7402,ASSANDH,10,M/s Richminds Developers Pvt. Ltd.,17/05/2031,True,UNMATCHED,0,,,,
100 OF 2026,21/05/2026,CPL,3.9875,KARNAL,29,Karnal City Centre,20/05/2031,True,PARCEL-MATCH,100,name=100+sector,KARNAL CITY CENTRE,HRERA-PKL-KRL-919-2026,KARNAL CITY CENTRE
103 OF 2026,26/05/2026,IPA,11.7375,GHARAUNDA,NA,VRS Hopes LLP,25/05/2031,True,UNMATCHED,0,,,,
104 OF 2026,27/05/2026,CPL,5.178,NILOKHERI AND TARAORI,16,Suparversh Buildwell Pvt. Ltd.,26/05/2031,True,SPV-MATCH?,44,name=44+area,RIDHI SIDHI AVENUE AREA 5.093 ACRES,HRERA-PKL-KNL-40-2018,RIDHISIDHI EMPIRES PVT LTD.
130 OF 2026,07/07/2026,IPA,49.89375,KARNAL,NA,INR CONSTRUCTIONS,06/07/2031,True,DEV-MATCH,100,name=100,INR ROYAL CITY AREA 9.268,HRERA-PKL-KNL-33-2018,INR CONSTRUCTIONS
144 OF 2026,14/07/2026,DDJAY-APHP,6.21875,KARNAL,34,SATWIK INFRASTRUCTURE,13/07/2031,True,UNMATCHED,0,,,,
158 OF 2026,05/08/2026,CPL,2.965,KARNAL,29,Karnal City Centre,04/08/2031,True,PARCEL-MATCH,100,name=100+sector,KARNAL CITY CENTRE,HRERA-PKL-KRL-919-2026,KARNAL CITY CENTRE
